Contestant,Date of Birth,Age,Hometown,Season,Finish,Days Lasted,Votes Against,Tribal Wins,Individual Wins,Total Wins,Ethnicity,Gender
Sonja Christopher,"January 28, 1937 (1937-01-28) (age 85)",63,"Walnut Creek, CA",Borneo,16,3,4,0,N/A,0,Caucasian,W
B.B. Andersen,"January 18, 1936 (age 77)",64,"Mission Hills, KS",Borneo,15,6,6,2,N/A,2,Caucasian,W
Stacey Stillman,"August 11, 1972 (1972-08-11) (age 49)",27,"San Francisco, CA",Borneo,14,9,6,2,N/A,2,Caucasian,W
Ramona Gray,"January 20, 1971 (1971-01-20) (age 51)",29,"Edison, NJ",Borneo,13,12,6,3,N/A,3,African- American,W
Dirk Been,"June 15, 1976 (1976-06-15) (age 45)",23,"Spring Green, WI",Borneo,12,15,4,4,N/A,4,Caucasian,M
Joel Klug,"April 13, 1972 (1972-04-13) (age 50)",27,"Sherwood, AR",Borneo,11,18,4,6,N/A,6,Caucasian,M
Gretchen Cordy,"February 7, 1962 (1962-02-07) (age 60)",38,"Clarksville, TN",Borneo,10,21,4,6,0,6,Caucasian,W
Greg Buis,"December 31, 1975 (1975-12-31) (age 46)",24,"Gold Hill, CO",Borneo,9,24,6,6,2,8,Caucasian,M
Jenna Lewis,"July 16, 1977 (1977-07-16) (age 44)",22,"Franklin, NH",Borneo,8,27,11,6,0,6,Caucasian,W
Gervase Peterson,"November 2, 1969 (1969-11-02) (age 52)",30,"Willingboro, NJ",Borneo,7,30,6,6,2,8,African- American,M
Colleen Haskell,"December 6, 1976 (1976-12-06) (age 45)",23,"Miami Beach, FL",Borneo,6,33,7,6,2,8,Caucasian,W
Sean Kenniff,"November 27, 1969 (1969-11-27) (age 52)",30,"Carle Place, NY",Borneo,5,36,9,5,1,6,Caucasian,M
Susan Hawk,"August 17, 1961 (1961-08-17) (age 60)",38,"Palmyra, WI",Borneo,4,37,7,5,0,5,Caucasian,W
Rudy Boesch,"January 20, 1928 (age 91)",72,"Virginia Beach, VA",Borneo,3,38,8,5,1,6,Caucasian,M
Kelly Wiglesworth,"June 24, 1977 (1977-06-24) (age 44)",22,"Kernville, CA",Borneo,2,39,0,5,5,10,Caucasian,W
Richard Hatch,"April 8, 1961 (1961-04-08) (age 61)",38,"Newport, RI",Borneo,1,39,6,5,1,6,Caucasian,M
Debb Eaton,"June 11, 1955 (1955-06-11) (age 66)",45,"Milan, NH",The Australian Outback,16,3,7,0,N/A,0,Caucasian,W
Kel Gleason,"January 5, 1968 (1968-01-05) (age 54)",32,"Ford Hood, TX",The Australian Outback,15,6,7,2,N/A,2,Latin- American,M
Maralyn Hershey,"January 24, 1949 (1949-01-24) (age 73)",51,"Wakefield, VA",The Australian Outback,14,9,5,3,N/A,3,Caucasian,W
Mitchell Olson,"March 17, 1977 (1977-03-17) (age 45)",23,"Union City, NJ",The Australian Outback,13,12,6,3,N/A,3,Caucasian,M
Kimmi Kappenberg,"November 11, 1972 (1972-11-11) (age 49)",27,"Ronkonkoma, NY",The Australian Outback,12,15,6,5,N/A,5,Caucasian,W
Michael Skupin,"January 29, 1962 (1962-01-29) (age 60)",38,"White Lake, MI",The Australian Outback,11,17,0,6,N/A,6,Caucasian,M
Jeff Varner,"April 16, 1966 (1966-04-16) (age 56)",34,"New York City, NY",The Australian Outback,10,21,11,6,0,6,Caucasian,M
Alicia Calaway,"May 1, 1968 (1968-05-01) (age 53)",32,"New York City, NY",The Australian Outback,9,24,5,6,0,6,African- American,W
Jerri Manthey,"September 5, 1970 (1970-09-05) (age 51)",30,"Los Angeles, CA",The Australian Outback,8,27,12,4,2,6,Caucasian,W
Nick Brown,"April 2, 1977 (1977-04-02) (age 45)",23,"Steilacoom, WA",The Australian Outback,7,30,4,6,1,7,African- American,M
Amber Brkich,"August 11, 1978 (1978-08-11) (age 43)",22,"Beaver, PA",The Australian Outback,6,33,6,4,0,4,Caucasian,W
Rodger Bingham,"July 5, 1947 (1947-07-05) (age 74)",53,"Crittenden, KY",The Australian Outback,5,36,5,6,0,6,Caucasian,M
Elisabeth Filarski,"May 28, 1977 (1977-05-28) (age 44)",23,"Newton, MA",The Australian Outback,4,39,5,6,0,6,Caucasian,W
Keith Famie,"February 11, 1960 (1960-02-11) (age 62)",40,"West Bloomfield, MI",The Australian Outback,3,41,10,4,2,6,Caucasian,M
Colby Donaldson,"April 1, 1974 (1974-04-01) (age 48)",26,"Dallas, TX",The Australian Outback,2,42,9,4,8,12,Caucasian,M
Tina Wesson,"December 26, 1960 (1960-12-26) (age 61)",39,"Knoxville, TN",The Australian Outback,1,42,0,4,1,5,Caucasian,W
Diane Ogden,"April 27, 1959 (1959-04-27) (age 63)",42,"Lincoln, NE",Africa,16,3,6,0,N/A,0,Caucasian,W
Jessie Camacho,"September 24, 1974 (1974-09-24) (age 47)",26,"Orlando, FL",Africa,15,6,5,0,N/A,0,Latin- American,W
Carl Bilancione,"June 20, 1955 (1955-06-20) (age 66)",46,"Winter Springs, FL",Africa,14,9,7,3,N/A,3,Caucasian,M
Linda Spencer,"January 1, 1957 (1957-01-01) (age 65)",44,"Boston, MA",Africa,13,12,4,4,N/A,4,Caucasian,W
Silas Gaither,"January 28, 1978 (1978-01-28) (age 44)",23,"Los Angeles, CA",Africa,12,15,8,5,N/A,5,Caucasian,M
Lindsey Richter,"August 31, 1974 (1974-08-31) (age 47)",26,"Portland, OR",Africa,11,18,12,6,N/A,6,Caucasian,W
Clarence Black,"December 21, 1976 (1976-12-21) (age 45)",24,"Detroit, MI",Africa,10,21,12,5,0,5,African- American,M
Kelly Goldsmith,"April 27, 1979 (1979-04-27) (age 43)",22,"San Diego, CA",Africa,9,24,5,5,0,5,Caucasian,W
Brandon Quinton,"January 22, 1976 (1976-01-22) (age 46)",25,"Dallas, TX",Africa,8,27,6,6,1,7,Caucasian,M
Frank Garrison,"July 22, 1958 (1958-07-22) (age 63)",42,"Odessa, NY",Africa,7,30,9,6,1,7,Caucasian,M
